@relation basefightstraining
@attribute fight_outcome {D,L,W}

@attribute fight_country {Japan,Philippines,Nicaragua,Thailand,Panama,Indonesia,Mexico,Argentina,'United Kingdom','South Africa',Brazil,France,Australia,USA,'Costa Rica',Ecuador,Colombia,Bolivia,Belgium,China,Canada,Tanzania,Spain,Chile,Russia,'Dominican Republic',Belarus,Italy,Kyrgyzstan,Kazakhstan,Venezuela,Namibia,Monaco,Laos,Georgia,Finland,Switzerland,Hungary,Germany,'Czech Republic','New Zealand',Croatia,'Puerto Rico',Singapore,Poland,Denmark,Macedonia,Ukraine,Ireland,Latvia,Slovakia,Austria,'Bosnia And Herzegovina',Slovenia,Azerbaijan,Honduras,Peru,Romania,'South Korea','United Arab Emirates',Haiti,Luxembourg,Estonia,Turkey,Netherlands,Greece,Martinique,Albania,'Trinidad And Tobago','French Polynesia',Sweden,Uruguay,Kenya,Kosovo,Serbia,Morocco,Ghana,Egypt,Uganda,Portugal,'Congo (Democratic Republic Of The)',Montenegro,Moldova,Lithuania,Algeria,Guyana,Fiji,Bulgaria,Aruba,Timor-Leste,Malta,'U.S. Virgin Islands','New Caledonia',Paraguay,Uzbekistan,Benin}

@attribute fight_scheduled {3,4,5,6,8,9,10,11,12}

@attribute fight_division {bantamweight,cruiserweight,featherweight,flyweight,heavyweight,'light flyweight','light heavyweight',lightweight,middleweight,minimumweight,'super bantamweight','super featherweight','super flyweight','super lightweight','super middleweight','super welterweight',welterweight}

@attribute boxer_localOvisitante {LOCAL,VISITANTE}
@attribute boxer_years_since_debut numeric

@attribute boxer_stance {orthodox,southpaw}
@attribute boxer_fights numeric

@attribute boxer_won numeric
@attribute Boxer_last_6_score numeric
@attribute boxer_last2 {'{w,l}','{d,l}','{l,w}','{l,l}','{w,w}','{w,d}','{d,w}','{d,d}','{l,d}'}
@attribute opponent_localOvisitante {LOCAL,VISITANTE}

@attribute opponent_years_since-debut numeric

@attribute opponent_stance {southpaw,orthodox}
@attribute opponent_fights numeric
@attribute opponent_won numeric

@attribute opponent_last6_score numeric

@attribute opponent_last2 {'{w,l}','{l,w}','{d,l}','{l,l}','{w,w}','{w,d}','{d,d}','{l,d}','{d,w}'}

@attribute boxer_age2 numeric
@attribute opponent_age2 numeric


@data
W,Japan,8,featherweight,LOCAL,9,orthodox,28,61,0,'{l,l}',LOCAL,3,orthodox,13,77,3,'{w,l}',27,21
L,Nicaragua,8,lightweight,LOCAL,16,southpaw,58,53,-2,'{l,l}',LOCAL,8,southpaw,28,89,3,'{w,w}',35,22
L,Mexico,12,lightweight,VISITANTE,4,orthodox,17,76,0,'{l,w}',LOCAL,5,orthodox,18,94,6,'{w,w}',28,23
L,Mexico,4,middleweight,LOCAL,5,southpaw,33,64,2,'{w,w}',VISITANTE,1,orthodox,15,100,6,'{w,w}',25,21
L,Thailand,12,bantamweight,VISITANTE,3,orthodox,11,55,1,'{w,w}',LOCAL,7,orthodox,32,81,6,'{w,w}',21,24
W,USA,8,'super lightweight',LOCAL,4,orthodox,18,100,6,'{w,w}',VISITANTE,7,orthodox,26,73,4,'{w,w}',24,34
W,Russia,10,middleweight,LOCAL,5,orthodox,10,100,6,'{w,w}',VISITANTE,4,orthodox,10,80,4,'{l,w}',24,24
W,USA,8,'light heavyweight',LOCAL,1,southpaw,6,100,6,'{w,w}',LOCAL,4,orthodox,7,71,3,'{d,w}',22,32
L,'United Kingdom',3,lightweight,LOCAL,6,orthodox,11,91,4,'{l,w}',LOCAL,3,southpaw,15,100,6,'{w,w}',28,22
L,Thailand,10,'super flyweight',LOCAL,3,orthodox,11,73,2,'{w,l}',VISITANTE,13,orthodox,23,78,6,'{w,w}',37,34
W,Japan,6,'super flyweight',LOCAL,3,orthodox,9,33,-1,'{l,d}',LOCAL,3,southpaw,9,44,0,'{w,w}',26,28
L,Mexico,10,flyweight,LOCAL,3,orthodox,13,85,4,'{w,w}',LOCAL,3,orthodox,14,43,-1,'{w,l}',22,22
W,USA,8,heavyweight,LOCAL,2,orthodox,11,100,6,'{w,w}',LOCAL,14,orthodox,41,66,2,'{w,w}',28,41
L,Argentina,10,'super featherweight',VISITANTE,6,orthodox,25,72,4,'{l,w}',LOCAL,11,orthodox,54,85,6,'{w,w}',27,30
W,'United Kingdom',12,welterweight,VISITANTE,9,orthodox,32,94,6,'{w,w}',LOCAL,5,southpaw,19,100,6,'{w,w}',39,28
L,Mexico,12,'super welterweight',VISITANTE,17,orthodox,43,74,1,'{w,w}',LOCAL,6,orthodox,26,77,6,'{w,w}',35,27
W,Namibia,12,lightweight,LOCAL,12,orthodox,34,94,4,'{w,w}',VISITANTE,8,orthodox,23,91,6,'{w,w}',35,31
W,China,12,lightweight,LOCAL,5,orthodox,9,100,6,'{w,w}',VISITANTE,4,orthodox,17,59,2,'{w,w}',27,28
L,'United Kingdom',6,bantamweight,VISITANTE,1,orthodox,7,86,4,'{w,w}',LOCAL,4,orthodox,13,77,0,'{l,w}',22,22
W,Japan,5,lightweight,LOCAL,1,orthodox,7,100,6,'{w,w}',LOCAL,4,orthodox,8,88,5,'{w,w}',23,23
W,Germany,8,heavyweight,LOCAL,6,orthodox,23,96,4,'{w,l}',VISITANTE,8,orthodox,26,69,-4,'{l,l}',24,29
L,'United Kingdom',12,middleweight,LOCAL,4,orthodox,17,94,5,'{w,w}',LOCAL,4,orthodox,15,87,5,'{d,w}',25,33
W,Japan,8,'super flyweight',LOCAL,6,orthodox,15,67,2,'{l,w}',LOCAL,6,orthodox,16,75,2,'{w,w}',26,27
W,Nicaragua,10,lightweight,LOCAL,3,orthodox,20,85,2,'{w,w}',VISITANTE,11,southpaw,37,84,0,'{w,l}',23,32
W,Philippines,8,'super bantamweight',LOCAL,1,orthodox,7,71,4,'{l,w}',LOCAL,3,orthodox,11,91,6,'{w,w}',23,22
L,Philippines,6,'light flyweight',LOCAL,4,orthodox,17,35,-6,'{l,l}',LOCAL,7,southpaw,27,89,4,'{w,w}',21,25
W,'United Kingdom',12,middleweight,LOCAL,4,orthodox,22,100,6,'{w,w}',LOCAL,2,orthodox,8,100,6,'{w,w}',28,20
L,Philippines,10,'super bantamweight',LOCAL,7,orthodox,27,59,0,'{w,w}',LOCAL,7,southpaw,28,93,4,'{w,w}',24,23
L,USA,6,welterweight,VISITANTE,6,orthodox,27,70,-2,'{l,w}',LOCAL,3,southpaw,13,100,6,'{w,w}',26,26
W,Spain,8,featherweight,LOCAL,2,orthodox,10,100,6,'{w,w}',VISITANTE,7,orthodox,19,79,4,'{w,w}',29,30
W,USA,10,welterweight,LOCAL,4,orthodox,17,100,6,'{w,w}',LOCAL,8,orthodox,33,76,-2,'{l,l}',22,36
W,Mexico,8,'super featherweight',LOCAL,17,orthodox,53,74,4,'{w,l}',LOCAL,7,orthodox,50,64,4,'{l,w}',32,23
L,Germany,12,'light heavyweight',VISITANTE,4,southpaw,21,90,6,'{w,w}',LOCAL,4,orthodox,21,100,6,'{w,w}',24,26
W,USA,8,'super welterweight',LOCAL,2,orthodox,7,100,6,'{w,w}',LOCAL,5,orthodox,10,60,0,'{l,w}',23,32
L,'New Zealand',3,cruiserweight,LOCAL,0,orthodox,16,94,4,'{w,l}',VISITANTE,9,southpaw,37,78,2,'{l,l}',24,31
W,'United Kingdom',10,middleweight,LOCAL,3,orthodox,12,92,4,'{w,w}',VISITANTE,9,orthodox,16,81,2,'{l,w}',32,28
L,Japan,8,flyweight,LOCAL,6,southpaw,15,60,1,'{d,w}',LOCAL,4,orthodox,13,62,3,'{d,w}',21,20
L,USA,8,heavyweight,VISITANTE,10,orthodox,23,91,4,'{w,l}',LOCAL,3,orthodox,13,100,6,'{w,w}',34,29
L,USA,6,heavyweight,LOCAL,2,orthodox,12,50,0,'{l,l}',VISITANTE,1,orthodox,10,100,6,'{w,w}',30,24
